"TCGA-W5-AA39-01" "TCGA-YR-A95A-01" "TCGA-ZH-A8Y5-01" "TCGA-W5-AA2X-01" "TCGA-W5-AA2H-01" "TCGA-ZH-A8Y4-01" "TCGA-W5-AA38-01" "TCGA-W5-AA2U-01" "TCGA-3X-AAVE-01" "TCGA-W5-AA2G-01" "TCGA-W5-AA2R-01" "TCGA-W5-AA31-01" "TCGA-W5-AA2Q-01" "TCGA-4G-AAZO-01" "TCGA-3X-AAVB-01" "TCGA-W5-AA2W-01" "TCGA-4G-AAZT-01" "TCGA-W5-AA34-01" "TCGA-W5-AA2T-01" "TCGA-W5-AA33-01" "TCGA-3X-AAVC-01" "TCGA-ZH-A8Y2-01" "TCGA-ZH-A8Y1-01" "TCGA-ZU-A8S4-01" "TCGA-ZD-A8I3-01" "TCGA-W5-AA36-01" "TCGA-3X-AAVA-01" "TCGA-ZH-A8Y8-01" "TCGA-WD-A7RX-01" "TCGA-W6-AA0S-01" "TCGA-W5-AA30-01" "TCGA-ZH-A8Y6-01" "TCGA-W5-AA2Z-01" "TCGA-W5-AA2O-01" "TCGA-W5-AA2I-01" "TCGA-3X-AAV9-01"
"RP11-262H14.4" -0.693147180559945 4.27535354797688 2.39353139137635 4.3979215842828 4.66993249393769 3.6790323015913 2.55705021047946 3.77622618927985 4.09169581367163 4.61708892401625 4.52163259673838 3.306962297195 2.85976760592836 3.29301687414011 3.58056425731921 4.08762549518495 5.01674884670786 3.78018049306631 3.79541856434544 3.93620418667598 2.2821699553971 1.25261078458207 4.28898950975559 3.39650275783289 4.78873472037517 4.95478608895214 3.85580102260838 3.47222514917641 3.77217100328935 2.02663723435421 2.95064540434155 4.12955311871377 4.29121162412268 4.14512932153842 3.90718370398651 4.48683100944168
"AC093323.3" 12.6254210990282 6.2624239711728 11.8391058474085 10.9694772909238 12.623272439491 6.71690712316171 9.09460649636122 3.85804129236495 11.9656831026195 10.7151906774916 11.6143693175381 10.8301814507378 11.4811970413155 9.79843447589756 11.5896078505754 10.6042007195481 11.6135094186118 10.3163189770522 11.5267882932865 9.73094422619893 11.5889393367342 10.234816515671 10.772597592303 11.4029169460133 11.5616332692589 7.41159688542823 8.3496056109119 10.7213208590368 11.0637624943713 7.5951298644585 11.3640756186651 10.5634203220874 10.6338116494977 10.4740216410717 13.2383538404253 11.913175761498
"CMB9-22P13.1" 4.70602344052194 5.0021545670362 5.67414358558548 5.42805048550454 7.81571676707614 5.71118282944198 5.37123166712672 6.12635409161931 3.96684828876071 4.11348848511872 5.5991683240754 5.67258432074807 6.63032408082429 6.12891282638098 5.48278037386481 7.28909380850552 4.91283765839495 6.24512452789049 8.05078196781302 6.22908742269579 4.8580236173604 5.06472204619948 6.26818765756917 7.46063841598234 6.84366453561591 4.63210596329571 5.30861075723479 7.37059345702942 6.16293631352179 6.47481788204848 5.69695622374113 5.25026154836528 7.04486731775351 5.75664169483478 6.57300528511361 7.04997842247812
"RP11-244H3.1" 2.70048630799569 3.95606839010467 4.07200258863001 3.76389285855153 5.09023506620222 4.4673130662369 4.74636659200684 4.65032480519669 4.81471193798244 3.29960610147131 4.53842959089087 3.71336115638492 4.90201563062579 4.51787215208019 4.08466475664816 3.97599357836646 2.57861322054113 3.16904378973986 4.92352424295788 4.25192993487517 3.79472937726307 4.89958493027751 3.87703305034878 3.94842677993925 3.65207941578142 4.64363561505843 3.91321624826673 3.77652679859858 4.32856605946871 4.51012985172061 4.80094431359438 4.54534187790648 3.9741577086286 4.71864634258684 4.89629580513382 3.67517833459544
"AC012074.2" 2.07041131190085 2.22054313349874 2.31869187027233 2.69174057704028 4.41277510752872 2.75568533803247 3.12612964369112 2.17140333369827 3.3748092627761 1.73248914048696 2.34421313824276 2.78229043664495 3.24772751123941 1.99404334619295 2.50191745851885 1.97723411301598 3.74735387415579 2.39368774035642 3.91721133642431 2.78748168679544 2.45903659215852 3.54795882316085 2.89852850477277 2.89810599446127 2.09650361438702 2.78450297569276 1.84491338017632 1.96264245951302 2.96953498500046 1.50082761910324 3.46661726390691 2.82120907541201 2.33143162885569 2.58402916455472 3.08638219674127 2.92529313076077
"LINC00471" 3.42354172320841 2.9999150484496 3.0355328280855 3.07889254403409 3.44450873864212 3.80772638762929 2.69104037696831 4.16952074306431 3.28415744232478 3.50887932890166 3.91970274087761 3.02116506007776 2.95578025466944 3.57405162298933 2.63220127701856 3.05080186458812 3.33791840244438 2.72610718973218 3.79531989789048 3.34780145860424 3.14418696266515 2.96957696956026 3.25138332949835 3.63124820600497 3.47855573352049 2.9843926972034 2.76362806006471 3.0477171660965 2.78402503292825 3.53017408439477 3.29727633346808 2.44881827208546 2.95396498009885 3.17923489387661 3.29750395555486 2.88098634894696
"LINC00670" 3.93866628725523 4.40656493121557 4.21993357311068 4.40304521074959 4.34649846333821 4.16083205034672 3.25051615383228 4.13544486636354 4.14503101935235 4.02143062314722 4.25949934155975 5.3845882343025 3.96047798426647 4.33487692521036 3.8666076259472 4.30341718918072 3.31021532731957 3.81425703440368 4.36463494010365 4.35669951323171 4.26284409067366 4.46027907037149 4.73599373252631 3.77100937644559 4.27017174671592 3.40607266969168 3.84588875264199 3.87362594803267 4.04296944900868 3.83479393219505 4.42432235419721 4.60459709244716 4.58487772451239 4.06131874687614 3.99955750972298 3.740665996474
"EIF3J-AS1" 9.49707762788502 13.7173163982664 14.0811033145619 14.0512808615759 12.0675980955036 13.6514395862791 10.0883264725808 14.3843531748466 14.2704989679467 14.0251497815572 14.25528879162 11.5618439554609 13.5589013244768 10.3964939294153 11.80734490472 14.8935552847631 9.61326804498059 11.7971772605489 14.6886147018196 13.4586629849494 12.5736418821474 16.2602961724031 12.2843948553115 10.8281333786785 13.6935908996062 14.1776757511823 15.3189756789042 13.9893717437161 11.0083185045932 14.4908549980621 12.1844970096277 13.3527990288447 14.1033783254525 12.7133076697988 11.4821233158737 13.496519496911
"RP11-381O7.3" 6.94416802852475 2.39365851539672 6.48676618483718 4.81809919115807 1.28332654974458 6.52007116122705 4.0227208801875 5.84274406339315 3.34100533593806 4.00695305403299 3.0780807462125 3.18101816144361 4.14287417548443 3.47968803359572 5.63047216285284 5.74470854639925 3.50071755764461 1.89943306239664 5.26521446221665 4.19191021865346 1.67413472488969 3.2716147963125 4.55074478038187 5.46902959570902 4.29645630929483 0.839877312052891 4.37128020400812 6.27949378370303 4.85099869175598 1.12370147253327 5.21010665193646 3.77121771313432 7.03117625637028 -0.420267390442116 6.06852442469876 5.28255757632887
"LINC00324" 4.32704149783209 5.42082095244405 4.10697833763473 4.08540227026482 5.98753186111554 4.50816568971628 3.98371819478161 4.81459605025979 4.8465690970542 4.47362717820393 4.79796593433211 4.11347820879026 3.97661198413683 3.01547962253798 4.24505741281651 3.93422534484295 4.57318968890263 4.58022687781257 4.45724660076214 5.12134223079081 4.76844352079719 5.39046730772319 3.43829959703468 4.63043422913336 4.61685621735725 5.11947674102387 5.24707880080506 4.9081417914695 4.98021526587976 4.39362061741849 5.06403227488525 6.08256090363378 4.28346520737275 4.49087111787497 4.71990136272124 4.81434751224863
