"TCGA-KL-8343-01" "TCGA-KL-8335-01" "TCGA-KL-8344-01" "TCGA-KL-8328-01" "TCGA-KN-8426-01" "TCGA-KL-8337-01" "TCGA-KL-8329-01" "TCGA-KO-8415-01" "TCGA-KN-8424-01" "TCGA-KM-8476-01" "TCGA-KO-8406-01" "TCGA-KL-8330-01" "TCGA-KM-8443-01" "TCGA-KL-8338-01" "TCGA-KN-8431-01" "TCGA-KL-8346-01" "TCGA-KL-8336-01" "TCGA-KO-8414-01" "TCGA-KO-8405-01" "TCGA-KM-8442-01" "TCGA-KN-8432-01" "TCGA-KO-8404-01" "TCGA-KN-8425-01" "TCGA-KO-8413-01" "TCGA-KO-8407-01" "TCGA-KM-8439-01" "TCGA-KN-8434-01" "TCGA-KO-8416-01" "TCGA-KM-8438-01" "TCGA-KL-8339-01" "TCGA-KL-8331-01" "TCGA-KL-8324-01" "TCGA-KL-8345-01" "TCGA-KO-8410-01" "TCGA-KN-8429-01" "TCGA-KM-8441-01" "TCGA-KO-8403-01" "TCGA-KL-8334-01" "TCGA-KN-8418-01" "TCGA-KL-8341-01" "TCGA-KN-8427-01" "TCGA-KL-8326-01" "TCGA-KO-8409-01" "TCGA-KO-8408-01" "TCGA-KM-8639-01" "TCGA-KN-8436-01" "TCGA-KN-8419-01" "TCGA-KN-8428-01" "TCGA-KN-8422-01" "TCGA-KL-8325-01" "TCGA-KM-8477-01" "TCGA-KN-8435-01" "TCGA-KO-8417-01" "TCGA-KL-8327-01" "TCGA-KL-8333-01" "TCGA-KL-8342-01" "TCGA-KM-8440-01" "TCGA-KN-8421-01" "TCGA-KN-8430-01" "TCGA-KL-8323-01" "TCGA-KL-8332-01" "TCGA-KL-8340-01" "TCGA-KN-8437-01" "TCGA-KO-8411-01" "TCGA-KN-8423-01" "TCGA-KN-8433-01"
"FLJ22447" 8.05681658961809 8.95849833380812 7.83442489640361 9.55744818360995 8.44166082628099 7.92259934105694 9.29866061950066 9.51488963629765 9.89295622261682 7.62572315351194 9.02528191870789 8.61705951878727 8.67109237005193 8.38055610041434 8.83953112833962 9.34363001851544 8.48623111159345 7.05903089696926 9.83095471301795 10.2780201764611 8.25047119916255 8.07513824935691 8.50892905864579 8.6917547225326 9.46266217383445 8.19573155723659 9.55081352545452 9.3073708647571 7.45119512675668 8.46378964313664 8.8085706120507 7.06388400544065 9.0596192553627 7.54833214440799 9.42592065656817 7.40482335482809 10.1339841342574 10.0014063793811 7.8310727193714 12.8524716433836 8.21943105210833 8.81558064274905 8.52270301347836 7.78131128507735 8.43224841575091 11.3226258808983 8.34334030675432 8.33141146851349 8.55241624351888 10.0928951739051 8.12391941815565 8.13962384575346 9.00190781878576 10.2965277668914 9.2411274869168 9.43117439151744 9.63669316731045 5.33451756267591 7.97661063178391 10.6210552800845 8.81828802935576 9.7288576462359 7.67726016326231 9.72963697244241 7.43913431315624 8.70642487648195
"KIAA0087" 2.8261781291752 2.84536387103678 1.77502516403888 2.59403512996337 3.63495238676714 2.98751974861359 2.93214327655024 2.69701245197195 2.293476970651 2.69785149171943 2.30100745147858 3.18557381531266 3.14383342117482 2.71610369044245 3.24531200492004 2.76311963933141 2.84110804544601 3.01208409842987 2.50151098692305 2.88320683859714 4.00202026973521 2.57538370835226 2.94840251860729 2.50345982685846 2.62894109153863 3.51693491121387 2.85032583008544 1.90550581669094 2.4297510672011 2.97022595357443 2.96731531089489 2.70883573033655 1.61770214153826 3.41882852204309 2.96875344304668 2.8642500825656 2.65657831249673 3.39901926849325 2.90336101195547 2.66619034456993 2.32377580615676 2.4847079415957 2.7936180052543 3.15265465527151 3.30574212383074 4.04162058092059 2.64774953469501 3.10423625246281 3.52091963444494 3.4876362719993 3.05962732309952 3.0262415427609 3.06114124006669 3.26647047225409 3.11963868066768 3.05216445234519 3.9855817756984 3.53813093878398 3.35284451411533 1.67655301631807 2.7565257891961 3.39846303040004 3.07781543303041 2.09173778950882 2.76402192012373 3.12286179319553
"D21S2088E" 6.14985089933419 6.11759636022313 6.37031092314302 6.70247591377782 5.72739821228717 6.52744244103574 7.20047809973166 7.52890677942113 7.00417981732991 8.00365184826201 6.83508197114174 6.65466347296849 6.30466460703391 7.3224820863736 6.74028647553224 6.47718149034521 6.81096112036829 7.49635495240263 6.88634038275719 6.26866363851212 6.05564723931318 5.8211814737197 7.21104074989853 6.66291056308758 7.16855749128036 5.88456415709229 7.26222213186105 7.80172207492604 7.1853958575417 6.80918952660701 6.7510185254079 7.16958029868519 6.24319572626146 6.2746899685608 6.38183760150127 4.95540156569702 7.03016332089232 7.96918000151362 6.65067012566463 6.4277659919784 5.18442975575135 7.17439122590724 7.10804710180256 7.56612819459575 5.82727905597332 5.60474206140814 6.37600699263773 5.26446378515488 7.53608039524544 6.59716476306434 6.34268559306118 6.66369005690729 7.32849750590795 7.51419895463241 5.63957019331684 7.64106266429773 7.06282207541175 6.96457066098523 6.36207666792144 7.02889806946578 7.36703431009777 7.43398297276198 4.55545263259325 7.19129767425257 5.90559140017467 7.10116455033039
"RP11-474D1.3" 2.23921649345566 2.53776001702197 1.16209144679931 2.19504585447224 0.390782538181005 2.25631565689137 0.293413217324473 1.94378059964519 0.12998020168526 1.58419504535787 1.60623368850563 1.96603851453007 2.52191435136581 1.73516416483899 1.57814039131006 1.33234282845447 2.06133229040259 2.6753534976574 1.73921625491732 1.27022675158179 1.97248489285171 2.314345387061 2.06902592516993 2.01484678995079 2.33561004758056 1.87398964942759 2.36183676059289 1.19449701610746 1.95289042798415 1.63240744690086 1.6114171411433 1.91480094134248 1.821047571589 1.84473772499115 2.29808331007234 2.17684044051015 2.24091947610948 1.61572702524689 1.10750080925428 2.02875960094263 1.27053391169193 1.36811567899721 2.28448559253857 0.618314148496849 2.22835511102372 1.60909950850411 1.64053830809884 1.80456888902204 2.00623277859679 1.81093512047294 2.45284920036741 2.48973135535715 1.49660363166338 2.82763296078619 1.91414328885964 2.34650017693418 2.54454402979638 2.61339966074638 1.54233462706996 1.76935236678594 -0.693147180559945 1.950204254822 2.31686716856277 1.81219056754058 2.25890510946585 2.02728544154048
"LINC01116" 8.31519753747906 7.10176576230949 7.0247888082266 5.9851835429391 10.4609851613114 11.5398157965856 6.64073208499446 6.28856867148103 8.51572358158959 11.2209638869983 9.32020354483925 11.6534149726377 5.88909936041922 10.0815497673568 11.6572218371553 6.77269435322776 6.88983530449238 9.72200260686545 9.09389571848301 10.7466632557657 11.9624326339552 12.1978039492647 11.4368085588396 7.47350955708962 8.56497525698769 12.8980513045907 7.28426554173085 7.00232354822554 11.3679939307167 5.12591898571606 9.00322281700777 7.2296843090282 10.0943800537422 6.95933169026448 9.51264929397441 12.6043352107049 7.03149931903678 9.99253525702847 11.0651408269486 4.89487624431112 12.0657599821741 7.08278669165186 11.6842872360826 10.6177684352503 12.447551179892 5.50027206038714 10.9513940775313 6.01820058069792 13.5224350061213 4.51157046568326 11.6472169709152 5.88158476877827 11.6719014282748 9.95511497437069 7.93913101966453 7.49767319972979 11.5615540042597 11.8112124715269 11.1007404799374 6.49943060528692 10.0813132202613 10.263051122412 12.5145154142786 10.7268267332842 6.40332079453179 6.85207053165342
"LINC00671" 5.02930276888936 5.29036211294564 4.60599722710394 3.18013231594941 4.80710479701609 3.85622470319091 3.50880209495222 3.29820412527222 2.2987213496043 2.69394865008262 3.16090959184455 4.54398878477322 4.052444602814 3.83447418208003 3.82533026528459 5.13077323970879 3.16058301144681 4.07657596487077 4.28792004617905 4.19068039321799 4.15750378125345 3.36684478260922 2.75451661486267 4.09326065887558 2.97515095912835 4.11236427899077 3.55034742306735 4.25757652868483 3.65967278088053 4.0841152593104 3.16168167056552 3.87531996327034 3.01011527983295 4.63978610492226 4.80790006023107 1.40996067859097 2.24163825363006 3.46669998386456 3.66470948299959 1.92166400187297 2.11818496680577 5.36048647385022 4.53907272744548 3.76548276122039 6.6046903896726 2.43405810608636 4.75258954774798 5.15584862868932 3.00102801291669 4.21618597502896 5.82367878820257 4.34118843764401 3.12832223392165 3.36251027695363 4.20353964037143 2.90491801559983 4.38110255542547 2.7651473166927 4.08658903612862 2.65685038544735 3.70240408244642 3.44584610830538 3.25209511102972 2.47347469903124 3.38583261374598 3.83106542479197
"RP11-266K4.9" 3.38068635438349 7.77837132772996 7.18114907661853 10.4878633975577 8.21794948460122 6.24217606601561 6.15855712157328 5.75305592934039 8.47875175574259 7.6110759365918 9.73896035524905 9.99086807373411 10.4551175815159 8.72561893734014 10.169761744943 8.17961624856984 6.02907919465203 8.43158046332726 7.00246476574696 8.60161202311524 5.59299414089319 11.0896956533262 9.65386867722303 9.84734178780603 6.45362783779413 7.59729442068854 7.64099074877292 3.6567847931141 9.68628658004147 7.67703163435956 7.8772882887342 10.7509555263055 6.79475186005045 8.8223234151304 7.37222790598323 6.89201641256378 5.97419545230824 8.43762571529528 10.2006587003623 4.81042825218846 8.67555191794433 7.8158663263244 11.8253816539143 11.5706697849488 8.88609412318643 10.165782219753 1.92922613778207 8.77907024166823 7.85392131818974 8.00698608643535 5.27675170561241 7.30228366370236 6.23554191958065 9.35989919704217 4.64843701013071 4.6056137846764 10.3448399834558 10.9752967704267 11.3562625439333 8.44839494988446 7.84188421443514 8.20586106603035 9.04891707642733 5.85712219738747 12.3484425447186 7.644323254328
"RP11-262H14.4" 11.6562661059613 6.32317599175695 10.8011203932298 12.341474934344 7.15195186927515 8.24630761119414 8.72565787108921 6.46984310311307 9.81589765822041 11.7817124808286 11.3224362745016 11.972919378602 8.65554029270344 9.70696266665793 6.1364809926682 5.70076760384472 10.966566456521 10.3833364429203 8.04800045718356 10.2425592874681 8.29691181872791 5.28051725676073 4.06553841750766 6.72917904161798 10.3730677313896 8.73929316788017 9.69279915473528 11.7179469047198 7.31777206157964 8.66896806327366 9.84262242596315 6.73555052461434 9.90882509545471 5.72412831770077 9.82286737571898 11.023192890996 12.982376756118 10.8225882881088 10.0184851784814 9.17805882169844 3.72637621292897 7.53065591294628 9.11962156662988 8.32232161627785 2.93838124790445 6.31097512205574 5.64469809346281 7.7873211208073 7.39581388761983 9.31301923412287 10.3395565342196 9.52678889584804 10.8175523994954 7.14567218752073 10.2047041106399 10.2443753394853 7.7420041040495 9.81382724046527 8.0244682250584 7.77329559927131 4.58244077217724 9.53468410744797 9.07702692168975 12.3192662185314 7.46394593922487 10.1798200813684
"AC093323.3" 13.6369120019371 13.1917020461581 12.6333847579212 13.2240050767916 13.145398071762 12.7878281401796 13.6628817082403 13.6003753204312 12.490608030296 13.3931120749781 12.9961854630691 13.3755537249048 12.8029105851175 13.2057102347363 13.5658596796352 14.398556180629 13.043934519876 13.86624859612 12.3063797940255 13.2882497137191 12.8765306675398 12.7281182656261 12.8659726800899 13.1548531766848 12.0234936608792 12.4989329839879 12.6773017637129 12.8699993684345 13.2548449136299 12.5774743051975 13.5468482280195 13.2983378928529 12.2783590688294 12.6939186189453 12.7202414585584 11.4178628492762 12.9578935780118 12.8697353426328 13.1223149333454 13.2099094113094 11.1848795036457 13.246659051063 13.5326446496715 13.2707604337141 12.32220042435 12.0570106700449 13.0505164488357 12.0382395677605 13.1226116085279 12.4576789309551 11.3908058159761 13.3685364054925 13.5276012648876 12.6847357966366 12.1239114650756 12.7406337999988 13.4516150336422 13.0089401926786 12.6553762369471 13.0836086708964 12.4230272680094 13.050561346031 11.8928016414573 13.041096227957 13.1244699157074 12.4610782839492
"CMB9-22P13.1" 7.62778610535046 6.19920581175032 5.91256968011691 5.80466590367575 6.25751359664838 6.62804960600177 6.43306937565704 7.79274587731295 7.55513455784143 7.56761426186847 5.72176195811468 7.09664205586124 5.60365145973334 7.77624066068529 7.71306912614445 8.11027026660855 7.03380717227217 7.46382251699166 7.33775823167447 7.77335093415764 5.12779304362149 8.51886195033913 6.94712210823915 6.76187127544303 7.17540067094692 8.39144045778245 6.44498033969745 8.19584128701654 7.80166207147198 7.86809562478265 7.0916136451884 7.30305769439228 4.71834780328594 6.8672680751636 7.36129729922601 6.49600127120294 7.26396087277823 5.48210815672157 8.03418468166996 9.44049364401365 3.23153602289379 8.21214776421283 7.65557473444819 9.2670793717336 6.0245270355667 4.07999692109955 6.89889338532274 8.55912534463946 7.98263528515562 6.79447201623997 5.33719817730427 8.87785826510142 7.15529766141959 6.16702600243463 7.83303762556695 5.9126300058819 5.28253626860879 7.59553637935524 6.58230791620133 8.26029286637721 7.95305153080136 6.16898556263704 7.20701161746287 7.39487678734471 8.87861859486839 8.5009262033887
