"TCGA-N5-A4R8-01" "TCGA-N5-A4RA-01" "TCGA-N5-A4RD-01" "TCGA-N5-A4RF-01" "TCGA-N5-A4RJ-01" "TCGA-N5-A4RM-01" "TCGA-N5-A4RN-01" "TCGA-N5-A4RO-01" "TCGA-N5-A4RS-01" "TCGA-N5-A4RT-01" "TCGA-N5-A4RU-01" "TCGA-N5-A4RV-01" "TCGA-N5-A59E-01" "TCGA-N5-A59F-01" "TCGA-N6-A4V9-01" "TCGA-N6-A4VC-01" "TCGA-N6-A4VD-01" "TCGA-N6-A4VE-01" "TCGA-N6-A4VF-01" "TCGA-N6-A4VG-01" "TCGA-N7-A4Y0-01" "TCGA-N7-A4Y5-01" "TCGA-N7-A4Y8-01" "TCGA-N7-A59B-01" "TCGA-N8-A4PI-01" "TCGA-N8-A4PL-01" "TCGA-N8-A4PM-01" "TCGA-N8-A4PN-01" "TCGA-N8-A4PO-01" "TCGA-N8-A4PP-01" "TCGA-N8-A4PQ-01" "TCGA-N8-A56S-01" "TCGA-N9-A4PZ-01" "TCGA-N9-A4Q1-01" "TCGA-N9-A4Q3-01" "TCGA-N9-A4Q4-01" "TCGA-N9-A4Q7-01" "TCGA-N9-A4Q8-01" "TCGA-NA-A4QV-01" "TCGA-NA-A4QW-01" "TCGA-NA-A4QX-01" "TCGA-NA-A4QY-01" "TCGA-NA-A4R0-01" "TCGA-NA-A4R1-01" "TCGA-NA-A5I1-01" "TCGA-ND-A4W6-01" "TCGA-ND-A4WA-01" "TCGA-ND-A4WC-01" "TCGA-ND-A4WF-01" "TCGA-NF-A4WU-01" "TCGA-NF-A4WX-01" "TCGA-NF-A4X2-01" "TCGA-NF-A5CP-01" "TCGA-NG-A4VU-01" "TCGA-NG-A4VW-01" "TCGA-QM-A5NM-01" "TCGA-QN-A5NN-01"
"AGAP11" 5.29653082509808 2.77355332441521 2.97232504155715 3.03231246994894 3.80024762845358 3.96578428466209 6.08704906790063 4.21712212218443 2.75493024804993 2.49157094171011 3.15796531725684 2.81233392330441 4.23617878851169 4.38530678059514 3.47809168673837 2.0548831984801 2.61029847029809 4.31155397509397 4.09692805158164 4.84881320089505 3.26007083359566 4.0108335360805 3.76245512676321 0.825622831815681 3.42137143300089 3.81663042363248 3.1136671647907 6.84101074980811 5.91786134911255 4.73541927871048 5.73752723421055 5.86280346712387 4.07543850208571 5.07628971902567 3.04769542249255 5.4366715708118 1.91387553908839 1.07587486697513 4.7402475961591 5.25499456809467 5.56381097915324 4.03209202471073 4.19048844108561 4.21919175831594 4.03576465360097 0.369606070031838 5.91689458328585 2.02261637906735 3.52699524533641 4.56138113013413 4.85396072674932 2.92888192708934 2.62884357062865 5.61231121089578 2.43376068196535 2.93999756459722 1.72944400683366
"BMS1P4" 4.20935978237492 2.83606550801174 4.01312276220742 2.50179579388531 1.60762622084549 4.02467428041162 5.0666704579133 1.8159032768451 3.80556074303587 2.59757884613516 4.08937950327615 3.19935825458511 3.92302554277166 4.26033434160262 5.19634343862255 4.21552329276571 4.74317024834689 4.55061751411614 3.83119108682435 4.59389154378646 3.39131405739718 4.31516043338676 2.32788852276664 1.82558213003292 5.34988892388192 3.86426539782727 3.62373812764197 5.02878129763365 4.64134371391513 4.5448809974104 4.87311431595642 4.6889859834368 2.46095220451234 3.19116781366365 2.96523018337213 4.07082722242318 1.91387553908839 2.56130169414537 4.57196192337286 5.42554322678464 4.79379186329501 4.76978231615379 6.01674589952503 5.1689267921185 4.8939251985619 3.45705577431615 4.73925405655682 3.80689112410865 3.98642003740025 4.43001758672766 5.08716154111966 4.56384757874837 4.33817479197112 4.1684414690377 4.52883383047882 3.40948598115071 2.62250872258291
"C10orf55" 2.14616642149108 0.966208951574222 1.20207287546592 3.04006829898396 1.46638936552863 1.87907837116873 2.89052451634164 2.40046639699985 2.95836014991537 2.4204285038363 1.57298665306254 1.11189933988498 1.46357014643869 2.41567755320177 2.38427089254241 2.20689323612177 3.60988495013547 0.631150857725145 0.987320865929254 1.65558080965278 2.37490036970135 3.37856711045748 1.59330595925049 -1.1742957680635 2.52311025907926 1.95505236567148 2.61237609128324 2.51432428646814 1.69790723154679 3.65818862799586 1.49549051051494 2.56445133805567 1.09051472988825 4.11521639897247 1.91513842592446 2.42559357765306 1.69389949535383 1.16806432847595 2.02577299062103 1.71404764877777 2.83013360685325 0.621899486252601 4.98617425923983 5.7826182437361 2.59069782069019 2.69151183200577 1.2023236808107 1.50802291673761 -1.05799228631204 2.42902671551354 1.1454166053932 3.97226989161006 4.17974988729563 2.46333472610459 0.848798181244189 3.15699518819596 1.47295559669763
"C14orf178" 1.94796532370984 1.96620895157422 -1.27543703469333 0.331934470438814 -1.19958668736124 0.965765818047377 0.454119441835148 -1.209227962138 0.229281361320872 -0.302642320603752 -0.234295534791949 0.696884090855455 2.04855008417499 -1.16942014652246 -0.247558137967042 -0.114972362500083 1.3302141772493 0.819668183496456 -0.260670323984417 0.125448635834315 1.45270085248384 -0.943416471633633 2.17587585097706 0.354219740200079 0.0296730406357683 -1.23073604337123 1.34811908446244 0.272501021322066 -0.0724352490748192 -1.35845397091248 -1.36067521082915 -1.24913627678066 -0.0129068502365476 1.49072414660643 -1.12217723817153 1.34834574511348 -0.893517669530019 0.350568699452064 -0.619594850350712 1.97900097062006 -0.306501891277755 -0.968040258602455 0.490056624464311 0.756510956140158 -0.00868224309980088 0.994280129881151 -1.37781929577941 -0.50099476836763 0.197807824232837 0.574343753920013 0.606063145152119 -0.319045586354241 -0.30561007259269 0.529452462693167 0.433707277495855 -0.760479753101883 -0.0779544229680562
"C15orf54" -1.51127934710472 -0.0338648945620462 -1.27543703469333 0.331934470438814 0.231401505157665 0.828493958242799 0.501923147066438 0.481917162018715 -0.0524460467925894 0.0765590951316044 1.08759861792362 1.11189933988498 1.53876994268787 -1.16942014652246 -0.276834656542415 1.69233791964413 0.107821755912854 0.819668183496456 0.739329676015583 0.0877072107696545 0.452700852483844 -0.943416471633633 1.1162555797439 0.729855142298547 1.98309393259779 0.354113592492377 0.152811174286017 -0.312401761492718 -0.508403405589552 0.963548106438987 -1.36067521082915 -1.24913627678066 -0.172506126396202 0.490775481672922 -0.11006777802546 0.604614534513366 0.574293513362581 0.338909272808921 -0.304718804855139 -1.19099722506091 1.01535483429346 0.490239847192206 -0.0949572369090829 -1.24365984774815 -1.0086822430998 0.954568570752994 0.675475289562272 -1.14720210718123 0.142993514830364 0.153637514120513 0.0210532520540752 0.680954413645759 -0.30561007259269 -0.0735945018647174 -0.151201818755811 1.85563231317892 -0.0779544229680562
"C15orf56" 3.61781565367462 3.87309462422458 1.89433274227769 2.50179579388531 4.12217572334094 2.55075294086895 1.50187220714302 2.69775158302376 6.12749296503257 3.70102777394684 1.93557289592039 2.88536753842899 3.04855008417499 4.18826639762212 3.24677289550209 4.20689323612177 5.04640374848396 1.98961134906793 2.06129233847829 2.013998146041 3.39131405739718 1.05665288703761 1.8133194549222 3.82559230558626 3.30500743040578 0.354113592492377 2.34811908446244 2.38794148803247 2.49159659441045 1.64159226857218 1.8094144442359 4.53229825530001 4.52795235244928 2.36518859760777 2.78467148496631 1.61140848102496 2.56596267728106 3.27750872814478 3.60208862905744 1.13099674480835 2.39388292770275 1.61706334388818 3.85928380705184 3.2800506345759 2.79873488062237 2.95454996001581 4.08161232285789 0.437653878346192 2.52699524533641 4.27479837816833 1.60601575277523 0.265916914366915 2.78177934559303 2.50189767732956 4.63014915599094 4.73141679151787 2.82895647641766
"C1orf220" 4.55461954699026 4.47400115734516 3.80547819836957 1.91685876469975 2.97017262989589 1.70274618552426 5.2023236808107 3.18316888014704 4.43943697134731 3.39845982712238 2.46607890923306 3.01877658517918 2.87862726234475 2.74049587418707 3.36706348159384 2.79185573684293 1.84478735007906 3.57458595908148 1.73937288535536 5.21912978987407 2.32716997039999 2.51606559000435 3.39828195564336 1.41055819814258 1.98309393259779 3.4130388845961 2.19613488076516 8.39448841851247 2.66152159585276 3.68599619611564 3.49747185726725 5.21036938107269 5.4274251541485 2.22767947354014 4.65913108624236 3.19635524288275 2.91389468198778 1.85829934787138 4.96198441985051 4.23533646850253 3.97551096551756 3.35401482849844 2.99255092265872 4.07841343173338 3.51493019567262 1.4122395662634 4.6560443849762 3.59847240292094 0.942007713687964 4.4156640338716 4.37862259552723 3.07327183642452 2.78177934559303 5.10854536525044 1.65613021591408 0.239520246898117 3.56592613130502
"C1orf229" 5.40739354307157 4.4256338570826 3.36825151193088 2.91683966109021 4.19256505123234 4.18817934406705 4.74981312600399 3.31442100984462 5.39052668301563 5.20581865819699 4.25750853369992 4.86677942522241 5.06845155250565 4.22303633790187 3.81066931056428 3.34440244146226 5.09269795221686 1.14162897365166 3.26292920548492 3.48794933693895 2.67511586234266 4.0108335360805 6.19578852941855 -0.174458572898173 4.15300271505391 2.09112433366116 1.34811908446244 4.44239948067918 1.29895151646805 1.22657018212556 3.16306392607437 4.96039123338058 4.41247669841037 5.75125482162504 3.96523018337213 4.31183730304816 2.69148949874663 -1.24605322791223 4.6493912778752 4.20138293586405 3.21701351997353 2.20201016731643 4.1530189340401 3.56384147888033 4.31329665001439 2.82901738603485 4.59946062772051 1.85267806267286 2.11196608960349 4.7967534769737 3.19099405112833 2.92888192708934 2.50166842946114 3.74290087875548 2.93625159832003 4.69899630127142 1.50705883666034
"C20orf197" 1.65846286117411 4.61006218757607 3.04631643148948 -0.668180151977398 -1.19958668736124 3.84025172380484 1.72425735120072 1.11276684542843 4.90177922019451 2.81350416717403 4.32023915346601 2.69686184060613 2.57905943566079 2.15263773965111 2.89312918601721 2.0548831984801 3.477042609354 3.27912952513513 3.82683318491565 -1.15585541894066 1.42377484345545 1.8639780843587 0.00590295685823641 1.64754873856109 1.46847905343513 0.354113592492377 0.0261626544896757 4.85743366216304 2.49159659441045 1.22657018212556 1.8094144442359 1.92086492870989 3.63487202316421 3.99323052665001 -1.12217723817153 2.34837407519116 0.6915341649192 1.05055253944434 1.69519209314435 3.20138293586405 5.6241827971312 1.61706334388818 2.90508128375151 -0.243489043859842 3.79872451386451 1.61956894188896 1.94410879910795 0.748571563683394 0.52697021440912 5.84738062393652 1.02105325205408 1.00288250853312 4.6715990917833 5.9731933752518 1.65613021591408 1.23958134568228 2.38150488256731
"C22orf24" 0.0735460609151547 3.28813704646158 -0.27561166339788 3.41935011532655 1.80024762845358 1.38084025031927 3.00439352315262 2.8783133642969 1.53256632326751 2.39845982712238 3.57301089820435 0.111832587077983 1.6859849867559 3.29014421306731 0.723165343457585 -1.11497236250008 0.522859255191698 1.14162897365166 0.739329676015583 1.84410439848547 0.867738351762688 1.64159226857218 1.8133194549222 1.82558213003292 0.246104009883917 2.09112433366116 -0.973695675648091 5.14694027935802 1.0765590951316 3.28546140513704 4.82932189555331 4.79533058289298 2.03452065704513 2.07570375921938 1.19968804755407 2.0264459803038 -0.893517669530019 1.04317101055646 3.45008949580185 3.39403389536778 2.94136927826228 1.61706334388818 0.905119803383616 1.56384147888033 5.40075991813301 -0.630393929968162 1.94410879910795 0.852718007160738 2.11196608960349 3.38171251736801 2.92797228327555 -0.319045586354241 1.27929299069758 1.36440434152833 3.24110797493405 -0.760479753101883 0.5070080777531
